index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Recovery_Rate,Total_cases,Death_Rate
141,Saint Lucia,3516.1290322580644,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,91.66666666666666,3540.1290322580644,99.3220586091267
142,Saint Vincent and the Grenadines,3516.1290322580644,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,75.0,3568.1290322580644,98.54265359997108
143,San Marino,3516.1290322580644,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,93.99141630901288,4173.129032258064,84.25641778815309
144,Sao Tome and Principe,3516.1290322580644,734,117,2.0,0.0,38,1.62,84.86,1.91,746,119,15.95,84.85549132947978,4367.129032258064,80.5135137131503
145,Saudi Arabia,3516.1290322580644,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,82.89617526976879,269690.12903225806,1.3037663057506619
146,Senegal,3516.1290322580644,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,66.33551823023352,13086.129032258064,26.8691300811004
147,Serbia,3516.1290322580644,0,23598,411.0,9.0,0,2.25,0.0,inf,21253,2888,13.59,0.0,27114.129032258064,12.967884854700204
148,Seychelles,3516.1290322580644,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,34.21052631578947,3630.1290322580644,96.85961576057014
149,Sierra Leone,3516.1290322580644,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,73.86427369601795,5233.129032258064,67.18980194418931
150,Singapore,3516.1290322580644,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,89.87765057634053,54327.12903225806,6.472142178119291
151,Slovakia,3516.1290322580644,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,74.094452086199,5669.129032258064,62.02238495985616
152,Slovenia,3516.1290322580644,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,83.03785337805462,5487.129032258064,64.07957625175631
153,Somalia,3516.1290322580644,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,48.27909887359199,6619.129032258064,53.12072049241445
154,South Africa,3516.1290322580644,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,60.75301251411511,448978.12903225806,0.7831403814339114
155,South Korea,3516.1290322580644,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,91.5792438217278,17419.129032258064,20.185446848385073
156,South Sudan,3516.1290322580644,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,50.97613882863341,5775.129032258064,60.88399086181568
157,Spain,3516.1290322580644,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,55.19985610507266,247505.12903225806,1.4206287546468572
158,Sri Lanka,3516.1290322580644,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,75.61497326203208,6310.129032258064,55.72198308914494
159,Sudan,3516.1290322580644,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,51.98704481792718,14220.129032258064,24.72642142896031
160,Suriname,3516.1290322580644,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,62.37356709372893,4975.129032258064,70.67412743388078
161,Sweden,3516.1290322580644,0,73695,398.0,3.0,0,7.18,0.0,inf,78048,1347,1.73,0.0,77211.12903225806,4.553914800014205
162,Switzerland,3516.1290322580644,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,89.62496736955072,36015.12903225806,9.762922212797669
163,Syria,3516.1290322580644,0,634,24.0,2.0,0,5.93,0.0,inf,522,152,29.12,0.0,4150.129032258064,84.7233665490385
164,Taiwan*,3516.1290322580644,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,95.23809523809523,3971.1290322580644,88.54230128751878
165,Tajikistan,3516.1290322580644,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,83.31720801658604,10691.129032258064,32.88828543411028
166,Tanzania,3516.1290322580644,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,35.952848722986246,4004.1290322580644,87.81258056200052
167,Thailand,3516.1290322580644,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,94.35850773430391,6755.129032258064,52.05124899120859
168,Timor-Leste,3516.1290322580644,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,0.0,3540.1290322580644,99.3220586091267
169,Togo,3516.1290322580644,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,69.45080091533181,4372.129032258064,80.42143784677134
170,Trinidad and Tobago,3516.1290322580644,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,86.48648648648648,3656.1290322580644,96.17081348155992
171,Tunisia,3516.1290322580644,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,79.51890034364261,4921.129032258064,71.4496411130412
172,Turkey,3516.1290322580644,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,92.7098612891432,224905.12903225806,1.5633832129074063
173,US,3516.1290322580644,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,30.902656459668286,4145764.129032258,0.08481256827022697
174,Uganda,3516.1290322580644,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,87.41134751773049,4642.129032258064,75.74388837157588
175,Ukraine,3516.1290322580644,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,55.44592822224872,68976.12903225806,5.097602723709933
176,United Arab Emirates,3516.1290322580644,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,88.73379860418744,62348.12903225806,5.639510097310006
177,United Kingdom,3516.1290322580644,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,0.47628833176448754,259380.12903225806,1.3555892062266566
178,Uruguay,3516.1290322580644,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,79.11813643926789,4683.129032258064,75.08076348181875
179,Uzbekistan,3516.1290322580644,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,55.042670564383045,24604.129032258064,14.290808781112007
180,Venezuela,3516.1290322580644,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,62.29046785088816,19358.129032258064,18.163578858260763
181,Vietnam,3516.1290322580644,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,84.68677494199535,3947.1290322580644,89.08067112887275
182,West Bank and Gaza,3516.1290322580644,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,35.326240466999344,14059.129032258064,25.009579357230866
183,Western Sahara,3516.1290322580644,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,80.0,3525.1290322580644,99.74469019665261
184,Yemen,3516.1290322580644,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,49.260792430514485,4724.129032258064,74.42914891292473
185,Zambia,3516.1290322580644,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,61.840949033391915,7928.129032258064,44.35004801197858
186,Zimbabwe,3516.1290322580644,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,20.04437869822485,6184.129032258064,56.85730381622051
